"SK_ID_CURR","TARGET"
100001,0.0462053613246771
100005,0.110664858719564
100013,0.0244631093120992
100028,0.0316547817629839
100038,0.143542902403695
100042,0.0511241442097495
100057,0.00681702872827106
100065,0.0388552804246051
100066,0.0132538014537159
100067,0.0929976536561473
100074,0.0558208977735978
100090,0.0321643265717814
100091,0.14648982110614
100092,0.0528324888426528
100106,0.0373574116877426
100107,0.147721171910949
100109,0.0526256760644979
100117,0.0251043827912405
100128,0.122722674046028
100141,0.0315538054691
100150,0.0287115061760887
100168,0.011826758385923
100169,0.0480410525393015
100170,0.244348618955465
100171,0.0604911111661001
100172,0.0868243663975458
100184,0.14864788432453
100187,0.0643038803540642
100212,0.0231153803097599
100222,0.0478334326791068
100223,0.0217755825892367
100232,0.00956464950662749
100241,0.151105700391297
100245,0.0189590357060085
100253,0.0270811439288959
100256,0.0319054461232349
100271,0.010272498949257
100278,0.438792231333897
100280,0.010635453950972
100306,0.233753620660437
100311,0.0640109107102565
100312,0.0167575752458033
100330,0.100505041773237
100331,0.0277352713011143
100352,0.158583408155404
100358,0.110994840869938
100367,0.0215133340585155
100382,0.0913031276428454
100384,0.143713498485631
100385,0.05148763934046
100386,0.0278301975707151
100399,0.0366620457899008
100404,0.0313012590033365
100416,0.0110637048981588
100422,0.0142852827182241
100426,0.0358083390617265
100438,0.0287582183852282
100444,0.124046093055208
100445,0.13580500221681
100446,0.044500508988788
100447,0.0173574440831804
100450,0.153562402732728
100466,0.00809682833914838
100483,0.0171753867618333
100484,0.0248902745230931
100494,0.0528936771143828
100510,0.138802170934895
100512,0.013782807811471
100517,0.0253257086133304
100548,0.0221602273375373
100551,0.0511090143642363
100552,0.0495486382274627
100553,0.0155690347432198
100561,0.111267918101731
100568,0.449598615463844
100569,0.0114093578105922
100591,0.105148678310007
100592,0.0274018299036135
100602,0.0261435776835846
100607,0.0750540852105371
100613,0.0595234747373227
100617,0.106566378905955
100618,0.114880513945624
100622,0.0442130553243507
100625,0.0586948850005826
100677,0.0731049107449874
100699,0.0233266160415175
100702,0.382938882336407
100711,0.0306683555902504
100729,0.159096485887181
100740,0.19147969852238
100744,0.0928421213440906
100745,0.0484829351488449
100747,0.11727631995238
100751,0.370433303170949
100752,0.0270908170784375
100753,0.179544583363825
100754,0.236297562916575
100760,0.0336284396795958
100762,0.0623918916294028
100763,0.0197997041081505
